Trial,Chord,Sus,Amp,IsSim,IsMajor,Valence,Arousal,Time
0,15,2,2,0,1,0,0,0.785229
1,15,2,0,0,1,0,0,1.16549
2,15,2,3,0,1,0,0,1.2311
3,15,2,1,0,1,0,0,1.13225
4,15,2,2,0,1,0,0,1.08356
0,15,0,2,0,1,0,-2,4.3485
1,15,0,3,0,1,0,-2,1.18352
2,15,0,1,0,1,0,-2,0.864743
3,15,0,0,0,1,0,-2,0.627322
4,15,0,2,0,1,0,-2,0.698685
0,15,1,3,0,1,0,-2,0.783889
1,15,1,2,0,1,0,-2,1.01483
2,15,1,0,0,1,0,-2,0.998702
3,15,1,1,0,1,0,-2,1.46486
4,15,1,1,0,1,0,-2,1.43177
0,14,0,1,0,0,0,-2,1.26767
1,14,0,0,0,0,0,-2,0.832503
2,14,0,3,0,0,0,-2,0.882148
3,14,0,2,0,0,0,-2,0.799277
4,14,0,1,0,0,0,-2,0.763826
0,14,1,2,0,0,0,-2,0.717017
1,14,1,1,0,0,0,-2,0.619365
2,14,1,3,0,0,0,-2,2.6821
3,14,1,0,0,0,0,-2,0.983145
4,14,1,2,0,0,0,-2,1.16742
0,14,2,1,0,0,0,-2,0.796908
1,14,2,0,0,0,0,-2,2.71589
2,14,2,3,0,0,0,-2,0.867356
3,14,2,2,0,0,0,-2,0.898441
4,14,2,3,0,0,0,-2,0.849003
